Kontonummer;Kontonavn;Inngående balanse 2026-01-01;Jan;Feb;Mars;April;Mai;Juni;Juli;Aug;Sept;2026-09-17;2025-09-17;Endring - 2025-09-17
5920;"Yrkesskadeforsikring";81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;81917,00;107061,00;-25144,00
5945;"Pensjonsforsikring for ansatte";1068368,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1070959,00;1013591,00;57368,00
5990;"Annen personalkostnad";84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;84100,46;0,00
6011;"Avskrivning FoU";27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;27702136,14;21139903,76;6562232,38
6012;"Reduksjon avskrivning FoU";-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-23612048,62;-17162232,67;-6449815,95
6015;"Avskrivning på maskiner";214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;214396,70;43293,26;171103,44
6017;"Avskrivning på inventar";103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;103225,69;73744,06;29481,63
6100;"Frakt, transportkostnad og forsikring ved vareforsendelse";19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;19440,39;0,00
6110;"Toll og spedisjonskostnad ved vareforsendelse";858,00;858,00;858,00;858,00;858,00;858,00;858,00;858,00;858,00;858,00;858,00;858,00;0,00
6200;"Elektrisitet";119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;119908,58;117231,46;2677,12
6300;"Leie lokale";1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;1802350,32;0,00
6360;"Renhold";33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;33258,15;0,00
6390;"Annen kostnad lokaler";182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;182019,31;169913,76;12105,55
6400;"Leie maskiner";127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;127483,66;118200,46;9283,20
6440;"Leie transportmidler";111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;111191,90;0,00
6490;"Annen leiekostnad";13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;13166,12;11190,82;1975,30
6500;"Motordrevet verktøy";9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;9525,90;0,00
6510;"Håndverktøy";19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;19041,36;0,00
6520;"Hjelpeverktøy";50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;50803,72;0,00
6530;"Spesialverktøy";8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;8200,00;0,00
6540;"Inventar";101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;101510,49;0,00
6550;"Driftsmateriale";-14870,40;-14870,40;-14870,40;-3171,10;-3171,10;-3171,10;-3171,10;-3171,10;-3171,10;-3171,10;-3171,10;0,00;-3171,10
6551;"Datautstyr (hardware)";569,54;569,54;569,54;569,54;569,54;569,54;569,54;569,54;569,54;569,54;569,54;569,54;0,00
6552;"Programvare (software)";103541,44;106454,44;106454,44;106454,44;106454,44;114728,79;119626,79;119626,79;124365,69;124365,69;124365,69;100325,44;24040,25
